,ADDRESS,STATE,CITY,ZIP,latitude,longitude,COSTCO_HEARING_CENTER
263,8816 DR. CHARLES NELSON DRIVE,IN,AVON,46123,39.76470636,-86.36369775,Yes
264,9010 MICHIGAN RD,IN,INDIANAPOLIS,46268,39.916011,-86.224994,Yes
265,625 E UNIVERSITY DR,IN,GRANGER,46530,41.720402,-86.173155,Yes
266,4628 E COUNTY LINE RD,IN,INDIANAPOLIS,46237,39.636234,-86.08947,Yes
267,6110 E 86TH ST,IN,INDIANAPOLIS,46250,39.914227,-86.061607,Yes
268,5110 VALUE DR,IN,FORT WAYNE,46808,41.125035,-85.155717,Yes
269,9700 E KELLOGG,KS,WICHITA,67207,37.67975,-97.224893,Yes
270,9350 MARSHALL DR,KS,LENEXA,66215,38.958687,-94.731243,Yes
271,12221 BLUE VALLEY PKWY,KS,OVERLAND PARK,66213,38.9069,-94.670682,Yes
272,3408 BARDSTOWN RD,KY,LOUISVILLE,40218,38.20496,-85.66621,Yes
273,5020 NORTON HEALTHCARE BLVD,KY,LOUISVILLE,40241,38.31501,-85.57357,Yes
274,800 HEIGHTS BLVD,KY,FLORENCE,41042,38.98771,-84.64699,Yes
275,1500 FITZGERALD CT,KY,LEXINGTON,40509,38.025174,-84.40741,Yes
276,201 MEADOW FARM RD,LA,LAFAYETTE,70508,30.155903,-92.042704,Yes
277,10000 DAWNADELE AVE BLDG A,LA,BATON ROUGE,70809,30.419945,-91.07271,Yes
278,3900 DUBLIN ST,LA,NEW ORLEANS,70118,29.96749,-90.11015,Yes
279,119 DAGGETT DR,MA,WEST SPRINGFIELD,1089,42.132364,-72.621674,Yes
280,71 2ND AVE,MA,WALTHAM,2451,42.396471,-71.264089,Yes
281,200 LEGACY BLVD,MA,DEDHAM,2026,42.23103,-71.17493,No
282,2 MYSTIC VIEW RD,MA,EVERETT,2149,42.401557,-71.070461,Yes
283,120 STOCKWELL DR,MA,AVON,2322,42.134923,-71.067857,Yes
284,11 NEWBURY ST,MA,DANVERS,1923,42.556821,-70.979108,Yes
285,10 MONOCACY BLVD,MD,FREDERICK,21704,39.402357,-77.410548,Yes
286,880 RUSSELL AVE,MD,GAITHERSBURG,20879,39.157055,-77.212713,Yes
287,11160 VEIRS MILL RD,MD,WHEATON,20902,39.035686,-77.055739,Yes
288,10925 BALTIMORE AVE,MD,BELTSVILLE,20705,39.033006,-76.910084,Yes
289,10270 MILL RUN CIRCLE,MD,OWINGS MILLS,21117,39.4042173,-76.7894242,Yes
290,6675 MARIE CURIE DR,MD,ELKRIDGE,21075,39.186713,-76.795161,Yes
291,2400 FIVE LEES LN,MD,GLENARDEN,20706,38.92234,-76.85096,Yes
292,16006 CRAIN HWY,MD,BRANDYWINE,20613,38.66888,-76.87602,Yes
293,7077 ARUNDEL MILLS CIR,MD,HANOVER,21076,39.154633,-76.729999,Yes
294,575 E ORDNANCE RD,MD,GLEN BURNIE,21060,39.196883,-76.596885,Yes
295,9919 PULASKI HWY,MD,BALTIMORE,21220,39.359175,-76.447262,Yes
296,5100 CENTURY AVE,MI,KALAMAZOO,49006,42.270955,-85.648153,Yes
297,4901 WILSON AVE SW,MI,WYOMING,49418,42.875941,-85.762641,Yes
298,5100 28TH ST SE,MI,GRAND RAPIDS,49512,42.912709,-85.544536,Yes
